fecha,turno,cabeza,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
12/09/2026,Vespertina,04,4904,3058,5982,4797,0537,0938,3728,7912,8936,4234,3492,0270,6141,2631,3926,0441,9996,5081,3235,4239
12/09/2026,Tarde,51,2951,9535,9601,4426,7201,9775,7955,9570,4630,5602,0142,7781,8289,0693,6660,7513,6897,7318,2393,6721
12/09/2026,Nocturna,15,5415,3656,3608,4479,2336,1281,9993,3048,9105,5923,5520,8355,6885,6936,2347,1119,5213,3498,0615,6763
11/09/2026,Vespertina,04,4904,3058,5982,4797,0537,0938,3728,7912,8936,4234,3492,0270,6141,2631,3926,0441,9996,5081,3235,4239
11/09/2026,Tarde,51,2951,9535,9601,4426,7201,9775,7955,9570,4630,5602,0142,7781,8289,0693,6660,7513,6897,7318,2393,6721
11/09/2026,Nocturna,15,5415,3656,3608,4479,2336,1281,9993,3048,9105,5923,5520,8355,6885,6936,2347,1119,5213,3498,0615,6763
10/09/2026,Vespertina,63,7463,1657,6338,9180,4175,5457,3264,8517,3484,1128,8188,9556,4018,8351,5424,8218,1569,0284,0737,9679
10/09/2026,Tarde,83,6983,2327,6832,5786,2491,3801,3883,3758,3573,7083,5650,3703,4134,9037,8241,0669,7727,9555,1233,0180
10/09/2026,Nocturna,41,6141,8219,9935,1115,9039,1134,2200,1939,2494,7271,5774,5336,9200,6787,1389,3053,6245,9324,5209,3555
